Map 03: The Electric Asylum
3:60:50000:level3
60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,60:15:0:0,0:0:0:0,0:0:0:0,12:15:0:0,12:15:0:0,12:16:0:0,12:15:0:0,12:15:0:0,24:15:0:0,12:16:0:0,12:18:0:0,24:19:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:30:0,12:6:9:0,0:0:30:0,24:4:0:0,0:0:58:225,0:0:0:0,0:0:58:270,0:0:0:0,0:0:58:315,0:0:0:0,0:0:2:315,60:15:0:0,0:0:0:0,0:0:0:0,12:13:0:0,0:0:37:0,0:0:37:0,0:0:34:0,0:0:20:0,12:18:11:0,0:16:22:0,0:16:2:0,12:16:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:37:0,0:0:16:270,0:0:37:0,24:4:0:0,0:0:0:0,0:0:0:0,0:0:3:315,0:0:0:0,0:0:0:0,0:0:0:0,0:0:33:315,60:15:0:0,0:0:0:0,0:0:0:0,12:15:0:0,0:0:25:0,0:0:16:0,0:0:37:0,0:0:37:0,12:16:0:0,0:16:22:0,0:16:22:0,12:16:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:37:0,0:0:37:0,0:0:37:0,24:3:29:315,0:0:58:180,0:0:56:315,0:0:8:270,0:0:56:315,0:0:58:0,0:0:0:0,0:0:0:0,60:15:0:0,0:0:0:0,0:0:0:0,12:13:0:0,0:0:37:0,0:0:37:0,0:0:37:0,0:0:29:0,12:19:0:0,0:16:22:0,0:16:22:0,12:18:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,24:4:0:0,24:10:13:0,24:4:0:0,24:3:29:0,0:0:0:0,0:0:0:0,0:0:3:315,0:0:0:0,0:0:0:0,24:1:0:0,24:1:0:0,60:15:0:0,0:0:0:0,0:0:0:0,12:15:0:0,24:15:0:0,12:16:0:0,12:19:0:0,12:16:0:0,12:16:0:0,0:16:22:0,0:16:22:0,12:1:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:36:0,0:0:0:0,0:0:0:0,24:4:0:0,0:0:58:135,0:0:0:0,0:0:58:90,0:0:0:0,0:0:58:45,24:18:0:0,0:0:42:0,0:0:60:0,12:17:0:0,0:0:0:0,0:0:0:0,12:16:0:0,0:16:22:0,0:16:3:0,0:16:22:0,12:16:0:0,0:16:22:0,0:16:22:0,12:16:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,0:0:36:0,0:0:0:0,0:0:0:0,24:7:11:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:32:315,24:18:11:0,0:0:20:0,0:0:61:0,12:16:0:0,0:0:0:0,0:0:0:0,12:16:0:0,0:16:22:0,0:16:22:0,0:16:22:0,12:16:0:0,0:16:22:0,0:16:22:0,12:16:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,12:13:0:0,0:0:0:0,0:0:0:0,24:4:0:0,0:0:0:0,0:0:0:0,0:0:29:315,0:0:21:315,0:0:29:315,24:18:0:0,0:0:0:0,0:0:27:0,12:16:0:0,0:0:0:0,0:0:0:0,12:16:0:0,4:19:0:0,0:16:22:0,0:16:22:0,12:16:0:0,0:16:22:0,0:16:22:0,12:16:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,12:13:0:0,0:0:30:0,0:0:0:0,12:15:0:0,24:1:0:0,24:1:0:0,24:1:0:0,24:1:0:0,24:1:0:0,24:1:0:0,0:0:42:0,0:0:62:0,12:17:0:0,0:0:0:0,24:16:0:0,24:19:0:0,24:16:0:0,0:16:0:0,12:16:0:0,12:19:0:0,0:16:22:0,0:16:22:0,12:19:0:0,0:0:0:0,0:0:0:0,0:100:0:0,
60:15:0:0,24:1:0:0,24:1:0:0,12:7:11:0,24:1:0:0,12:15:0:0,0:0:19:90,0:0:2:0,12:1:0:0,0:0:30:0,12:1:0:0,12:1:0:0,12:1:0:0,12:1:0:0,60:1:0:0,0:16:30:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,12:17:0:0,12:17:0:0,12:1:0:0,0:100:0:0,
60:15:0:0,0:0:47:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:19:0:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:42:0,0:16:22:0,0:16:22:0,0:16:22:0,0:17:23:0,0:17:25:0,12:19:0:0,0:100:0:0,
