Map05: The Citidal
5:80:50000:level5
48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:63:180,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:9:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:63:180,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:2:0,0:0:0:0,0:0:0:0,0:0:17:45,0:0:0:0,0:0:61:45,36:18:37:270,0:0:0:0,0:0:0:0,0:0:42:0,0:0:0:0,60:3:0:0,0:0:2:45,0:0:47:45,0:0:57:0,0:0:61:45,0:0:2:0,0:0:8:90,0:0:2:0,0:0:61:45,0:0:57:0,0:0:47:45,0:0:2:45,60:3:0:0,0:0:0:0,0:0:27:0,0:0:0:0,48:1:0:0,0:0:29:45,0:0:0:0,0:0:0:0,0:0:40:0,0:0:0:0,0:0:32:45,0:0:32:45,0:0:32:0,0:0:29:45,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,24:18:37:45,0:0:0:0,24:27:37:45,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:17:45,0:0:0:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:0:0,0:0:21:0,0:0:0:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:1:0,0:0:20:0,48:3:11:0,0:0:0:0,0:0:0:0,0:0:18:45,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:2:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,0:0:0:0,48:3:0:0,0:0:0:0,0:0:0:0,0:0:62:45,0:0:0:0,0:0:0:0,33:27:37:270,0:0:0:0,33:18:37:270,60:3:0:0,0:0:0:0,0:0:42:0,0:0:36:0,60:27:0:0,0:0:0:0,0:0:60:45,0:0:0:0,60:27:0:0,0:0:37:0,0:0:43:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:38:0,0:0:0:0,48:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:56:45,0:0:0:0,0:0:0:0,0:0:0:0,48:15:0:0,0:0:25:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,24:27:37:45,0:0:17:180,48:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:19:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:19:180,0:0:0:0,0:0:0:0,60:3:0:0,0:0:62:45,0:0:0:0,0:0:0:0,48:1:0:0,0:0:0:0,0:0:0:0,0:0:17:90,0:0:0:0,0:0:17:90,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,48:15:0:0,27:18:36:45,48:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,12:27:37:270,0:0:37:270,0:0:42:270,0:0:0:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:0:0,0:0:58:270,0:0:0:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,60:3:0:0,48:16:22:0,48:16:22:0,48:16:22:0,48:16:22:0,48:16:22:0,48:16:22:0,48:16:22:0,48:16:22:0,48:16:22:0,48:2:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,30:27:36:45,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,30:27:37:270,60:3:0:0,0:0:0:0,0:0:43:0,0:0:37:0,60:27:0:0,0:0:58:270,0:0:0:0,0:0:58:270,60:27:0:0,0:0:36:0,0:0:42:0,0:0:0:0,60:3:0:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:0:3:0,0:0:58:180,0:0:58:180,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,0:0:0:0,0:0:0:0,48:3:29:0,48:3:29:0,0:0:0:0,15:18:37:270,0:0:0:0,0:0:17:0,0:0:0:0,0:0:0:0,60:7:11:0,0:0:0:0,0:0:0:0,0:0:58:0,0:0:29:0,0:0:0:0,0:0:17:270,0:0:0:0,0:0:29:0,0:0:58:180,0:0:0:0,0:0:0:0,24:7:11:0,0:16:37:45,0:16:37:45,0:16:37:45,0:16:37:45,0:16:37:45,0:16:37:45,0:16:37:45,0:16:37:45,0:16:37:45,0:0:34:45,0:0:19:180,0:0:31:0,0:0:34:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:0:0,48:17:0:0,0:0:0:0,30:18:36:45,0:0:17:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,60:3:0:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:16:22:0,0:0:3:0,0:0:58:180,0:0:58:180,0:0:0:0,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:17:0,30:27:6:270,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,18:27:37:270,0:0:0:0,0:0:0:0,27:18:37:270,60:3:0:0,0:0:0:0,0:0:42:0,0:0:36:0,60:27:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:27:0:0,0:0:38:0,0:0:43:0,0:0:0:0,60:3:0:0,48:16:22:0,48:16:22:0,48:16:22:0,48:16:22:0,48:16:22:0,48:16:22:0,48:16:22:0,48:16:22:0,48:16:22:0,48:2:0:0,0:0:0:0,0:0:0:0,0:0:61:45,48:1:0:0,0:100:0:0,
48:1:0:0,0:0:2:0,48:17:0:0,0:0:0:0,0:0:60:45,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:0:0,60:3:0:0,0:0:0:0,0:0:0:0,0:0:19:0,0:0:29:0,0:0:0:0,0:0:0:0,0:0:0:0,0:0:29:0,0:0:19:180,0:0:0:0,0:0:0:0,60:3:0:0,0:0:30:0,0:0:58:0,0:0:17:270,0:0:3:45,0:0:0:0,0:0:37:0,0:0:0:0,0:0:36:0,0:0:17:270,0:0:0:0,0:0:0:0,0:0:0:0,0:0:38:0,48:1:0:0,0:100:0:0,
