Map08: The Dark Warehouse
8:80:5000:level8:2:6
24:1:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:1:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,24:21:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:1:0:0:0,0:0:2:0:0,0:0:0:0:0,0:0:0:0:0,12:1:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:90:0,12:21:0:0:0,0:0:0:0:0,0:0:37:0:0,0:0:37:0:0,0:0:37:0:0,12:21:0:0:0,12:21:0:0:0,0:0:19:90:0,12:21:0:0:0,0:0:0:0:0,0:0:37:0:0,0:0:37:0:0,0:0:37:0:0,12:21:0:0:0,0:0:37:0:0,0:0:37:0:0,0:0:37:0:0,0:0:19:180:0,0:0:34:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:1:0:0:0,12:21:0:0:0,0:0:8:0:0,0:0:0:0:0,12:1:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:2:0:0,24:21:0:0:0,24:21:0:0:0,0:0:19:270:0,0:0:0:0:0,0:0:38:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,6:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,12:21:0:0:0,12:21:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:1:0:0:0,0:0:21:0:0,0:0:55:0:0,0:0:3:0:0,12:1:0:0:0,0:0:0:0:0,0:0:41:270:0,18:21:0:0:0,12:21:0:0:0,0:0:60:0:0,0:0:0:0:0,24:21:0:0:0,0:0:0:0:0,0:0:17:135:0,24:21:0:0:0,0:0:47:0:0,12:21:0:0:0,12:21:0:0:0,0:0:2:0:0,0:0:0:0:0,0:0:0:0:0,10:21:0:0:0,0:0:19:270:0,0:0:0:0:0,0:0:0:0:0,18:21:0:0:0,0:0:62:0:0,0:0:0:0:0,0:0:2:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:1:0:0:0,12:1:0:0:0,12:7:11:0:0,12:1:0:0:0,12:1:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:50:0:0,24:21:0:0:0,0:0:0:0:0,0:0:17:45:0,24:21:0:0:0,0:0:61:0:0,12:21:0:0:0,12:21:0:0:0,0:0:19:90:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:135:0,24:21:0:0:0,24:21:0:0:0,0:0:50:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:315:0,0:0:51:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:2:0:0,0:0:0:0:0,0:0:0:0:0,6:21:0:0:0,0:0:19:270:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:36:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:57:0:0,0:0:0:0:0,0:0:0:0:0,10:21:0:0:0,0:0:0:0:0,0:0:0:0:0,6:21:0:0:0,12:21:0:0:0,0:0:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:0:0:0,0:0:19:270:0,12:21:0:0:0,0:0:0:0:0,6:21:0:0:0,0:0:37:0:0,6:21:0:0:0,0:0:2:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:36:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:45:0,0:0:36:0:0,0:0:36:0:0,12:21:0:0:0,0:0:0:0:0,0:0:29:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,6:21:0:0:0,12:21:0:0:0,0:0:2:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:135:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:2:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:19:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:19:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:56:0:0,16:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:36:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,12:21:0:0:0,12:21:0:0:0,0:0:45:315:0,0:0:0:0:0,0:0:0:0:0,0:0:37:0:0,12:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:29:0:0,12:21:0:0:0,12:21:0:0:0,17:21:0:0:0,12:21:0:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
24:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,16:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,1:25:0:0:0,1:25:0:0:0,1:25:0:0:0,1:25:0:0:0,1:25:0:0:0,1:25:0:0:0,0:0:42:0:0,12:21:0:0:0,0:0:29:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:36:0:0,0:0:3:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:42:0:0,48:21:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:0:0:0:0,0:100:0:0:0,
