Map04: The Citidal
3:90:15000:level4:3:7
48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:9:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:2:0:0::0:0,0:0:17:90:0::0:0,0:0:0:0:0::0:0,0:0:17:90:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,36:2:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:42:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:2:0:0::0:0,0:0:8:90:0::0:12,0:0:2:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:16:0:0::0:0,0:0:27:0:0::0:0,0:0:0:0:0::0:0,48:1:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:17:90:0::0:0,0:0:40:0:0::0:0,0:0:17:90:0::0:0,0:0:0:0:0::0:0,0:0:18:90:0::0:0,0:0:32:0:0::0:0,0:0:32:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:2:0:0::0:0,24:2:0:0:0::0:0,0:0:0:0:0::0:0,24:2:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:17:90:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:21:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:18:0:0::0:0,0:0:1:0:0::0:0,0:0:20:0:0::0:0,48:3:11:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:2:0:0::0:0,0:0:0:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:2:0:0::0:0,0:0:0:0:0::0:0,48:2:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,33:2:0:0:0::0:0,9:2:0:0:0::0:0,33:2:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:42:0:0::0:0,0:0:36:0:0::0:0,60:1:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:1:0:0:0::0:0,0:0:37:0:0::0:0,0:0:43:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:16:0:0::0:0,0:0:38:0:0::0:0,0:0:0:0:0::0:0,48:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,48:15:0:0:0::0:0,0:0:25:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:17:90:0::0:0,24:2:0:0:0::0:0,0:0:17:90:0::0:0,48:2:0:0:0::0:0,0:0:17:90:0::0:0,39:2:0:0:0::0:0,0:0:17:90:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:19:270:0::0:12,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:19:270:0::0:12,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:17:90:0::0:0,48:1:0:0:0::0:0,0:0:17:90:0::0:0,0:0:0:0:0::0:0,0:0:17:90:0::0:0,0:0:0:0:0::0:0,0:0:17:90:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:0:0:0::0:0,48:15:0:0:0::0:0,27:2:0:0:0::0:0,48:2:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,12:2:0:0:0::0:0,0:0:0:0:0::0:0,6:2:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:17:270:0::0:12,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:2:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:0:0:0::0:0,30:2:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,30:2:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:43:0:0::0:0,0:0:37:0:0::0:0,60:1:0:0:0::0:0,0:0:17:270:0::0:12,0:0:16:270:0::0:12,0:0:17:270:0::0:12,60:1:0:0:0::0:0,0:0:36:0:0::0:0,0:0:42:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:3:0:0::0:0,0:0:16:180:0::0:0,0:0:0:0:0::0:0,0:0:17:180:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,48:2:29:0:0::0:0,48:2:29:0:0::0:0,0:0:17:90:0::0:0,15:2:0:0:0::0:0,0:0:0:0:0::0:0,0:0:17:90:0::0:0,3:2:0:0:0::0:0,0:0:0:0:0::0:0,12:7:11:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:19:270:0::0:12,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:17:270:0::0:12,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:19:270:0::0:12,0:0:0:0:0::0:0,0:0:0:0:0::0:0,12:7:11:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:2:0:0::0:0,0:0:19:180:0::0:0,0:0:31:0:0::0:0,0:0:34:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:0:0:0::0:0,48:17:0:0:0::0:0,0:0:0:0:0::0:0,30:2:0:0:0::0:0,0:0:17:90:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:22:0:0::0:0,0:0:3:0:0::0:0,0:0:16:180:0::0:0,0:0:0:0:0::0:0,0:0:17:180:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:17:90:0::0:0,33:2:7:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,18:2:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,27:2:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:42:0:0::0:0,0:0:36:0:0::0:0,60:1:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:1:0:0:0::0:0,0:0:38:0:0::0:0,0:0:43:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:16:22:0:0::0:0,48:2:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:38:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:2:0:0::0:0,48:17:0:0:0::0:0,0:0:0:0:0::0:0,0:0:21:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:17:90:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:19:270:0::0:12,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:19:270:0::0:12,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:30:0:0::0:0,0:0:0:0:0::0:0,0:0:17:270:0::0:0,0:0:0:0:0::0:0,0:0:17:270:0::0:0,0:0:37:0:0::0:0,0:0:17:270:0::0:0,0:0:36:0:0::0:0,0:0:17:270:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:38:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:2:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:31:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:29:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,3:5:5:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:31:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,48:15:0:0:0::0:0,0:0:38:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
48:1:0:0:0::0:0,0:0:2:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,21:2:0:0:0::0:0,0:0:0:0:0::0:0,0:0:43:0:0::0:0,24:2:0:0:0::0:0,60:3:0:0:0::0:0,0:0:0:0:0::0:0,0:0:42:0:0::0:0,0:0:37:0:0::0:0,60:1:0:0:0::0:0,0:0:2:0:0::0:0,0:0:18:270:0::0:12,0:0:2:0:0::0:0,60:1:0:0:0::0:0,0:0:37:0:0::0:0,0:0:42:0:0::0:0,0:0:0:0:0::0:0,60:3:0:0:0::0:0,0:0:30:0:0::0:0,0:0:0:0:0::0:0,0:0:39:0:0::0:0,0:0:2:0:0::0:0,0:0:0:0:0::0:0,0:0:32:0:0::0:0,0:0:32:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:0:0:0::0:0,0:0:19:180:0::0:0,0:0:43:0:0::0:0,48:1:0:0:0::0:0,0:100:0:0:0:0:0:0,
