Map 05: The City of Love
5:200:1000000:level4:9:4
120:2:0:0:0::0:3,120:2:0:0:0::0:3,120:2:0:0:0::0:3,120:2:0:0:0::0:3,120:2:0:0:0::0:3,120:2:0:0:0::0:3,120:2:0:0:0::0:3,120:2:0:0:0::0:3,120:26:53:90:1::0:3,120:2:0:0:0::0:3,0:0:31:270:0::0:12,0:0:31:270:0::0:12,0:0:58:90:0:270:0:12,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:31:270:0::0:12,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:61:270:0::0:12,0:0:38:270:0::0:12,0:100:0:0:0:0:0:0,
120:2:0:0:0::0:3,60:3:30:0:1221::0:3,60:3:0:0:0::0:3,4:29:8:90:0::60:3,60:3:0:0:0::0:3,60:3:21:90:0::0:3,60:3:30:0:1221::0:3,60:8:10:90:1::0:0,60:8:10:90:1::0:0,120:2:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:58:180:0:270:0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:58:180:0:270:0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:31:270:0::0:12,0:0:58:180:0:270:0:12,0:0:27:270:0::0:12,0:100:0:0:0:0:0:0,
120:2:0:0:0::0:3,60:3:3:90:0::0:3,60:3:0:0:0::0:3,60:3:0:0:0::0:3,60:3:0:0:0::0:3,60:3:0:0:0::0:3,60:3:0:0:0::0:3,60:8:10:90:1::0:0,60:8:10:90:1::0:0,120:2:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:58:180:0:270:0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:58:180:0:270:0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:100:0:0:0:0:0:0,
120:2:0:0:0::0:3,60:3:56:90:0::0:3,60:3:0:0:0::0:3,60:3:0:0:0::0:3,60:3:0:0:0::0:3,60:3:0:0:0::0:3,60:3:0:0:0::0:3,60:8:10:90:1::0:0,60:8:10:90:1::0:0,120:2:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,48:14:0:0:0::0:3,0:100:0:0:0:0:0:0,
120:2:0:0:0::0:3,60:3:30:0:1221::0:3,60:3:0:0:0::0:3,60:3:0:0:0::0:3,60:3:0:0:0::0:3,60:3:0:0:0::0:3,60:3:30:0:1221::0:3,60:8:10:90:1::0:0,60:8:10:90:1::0:0,120:2:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,4:14:0:0:0::0:3,0:0:30:270:0::0:12,0:0:56:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:30:270:0::0:12,4:14:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,48:14:0:0:0::0:3,24:15:0:0:0::0:3,24:15:0:0:0::0:3,24:15:0:0:0::0:3,0:0:42:0:0::0:12,0:0:42:0:0::0:12,0:0:0:0:0::0:3,0:0:58:0:0::0:12,12:42:0:0:0::0:3,0:0:30:0:0::0:12,0:0:0:0:0::0:3,0:0:27:0:0::0:12,12:2:0:0:0::0:3,48:14:0:0:0::0:3,0:100:0:0:0:0:0:0,
120:2:0:0:0::0:3,120:2:0:0:0::0:3,120:4:0:0:0::0:3,120:4:0:0:0::0:3,120:4:0:0:0::0:3,120:2:0:0:0::0:3,120:2:0:0:0::0:3,96:40:0:0:0::24:3,96:40:0:0:0::24:3,120:2:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,4:14:0:0:0::0:3,6:25:0:0:0::0:3,4:14:0:0:0::0:3,0:0:44:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,4:14:0:0:0::0:3,6:25:0:0:0::0:3,4:14:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,48:11:14:0:0::0:12,6:42:0:0:0::22:3,6:42:0:0:0::22:3,6:42:0:0:0::22:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:44:0:0::0:12,12:41:11:270:0:0:0:12,0:0:20:0:0::0:12,0:0:0:0:0::0:3,0:0:62:0:0::0:12,12:2:0:0:0::0:3,48:14:0:0:0::0:3,0:100:0:0:0:0:0:0,
0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:2:270:0::0:12,0:0:30:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:30:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,4:14:0:0:0::0:3,6:25:0:0:0::0:3,12:25:0:0:0::0:3,8:14:0:0:0::0:3,0:0:58:270:0::0:12,0:0:0:0:0::0:3,0:0:58:270:0::0:12,8:14:0:0:0::0:3,12:25:0:0:0::0:3,6:25:0:0:0::0:3,4:14:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,48:14:0:0:0::0:3,24:15:0:0:0::0:3,24:15:0:0:0::0:3,24:15:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:56:0:0::0:12,12:40:0:0:0::0:3,0:0:30:0:0::0:12,0:0:0:0:0::0:3,0:0:40:270:0::0:12,12:2:0:0:0::0:3,48:14:0:0:0::0:3,0:100:0:0:0:0:0:0,
0:0:0:0:0::0:3,0:0:31:0:0::0:16,0:0:0:0:0::0:3,0:0:54:90:2::0:12,0:0:54:90:2::0:12,0:0:54:90:2::0:12,0:0:0:0:0::0:3,0:0:16:270:0::0:12,0:0:16:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,4:14:0:0:0::0:3,6:25:0:0:0::0:3,12:25:0:0:0::0:3,24:25:0:0:0::0:3,12:14:0:0:0::0:3,0:0:0:0:0::0:3,0:0:58:270:0::0:12,0:0:56:270:0::0:12,12:14:0:0:0::0:3,24:25:0:0:0::0:3,12:25:0:0:0::0:3,6:25:0:0:0::0:3,4:14:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:31:270:0::0:12,0:0:0:0:0::0:3,48:14:0:0:0::0:3,0:0:58:0:0::0:12,0:0:44:0:0::0:12,0:0:3:315:0::0:12,0:0:0:0:0::0:3,0:0:16:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,12:40:0:0:0::0:3,12:2:0:0:0::0:3,12:40:0:0:0::0:3,12:40:0:0:0::0:3,12:2:0:0:0::0:3,48:14:0:0:0::0:3,0:100:0:0:0:0:0:0,
0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:0:0::0:16,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:54:180:2::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,4:14:0:0:0::0:3,6:25:0:0:0::0:3,12:25:0:0:0::0:3,24:25:0:0:0::0:3,36:25:0:0:0::0:3,24:14:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:44:270:0::0:12,24:14:0:0:0::0:3,36:25:0:0:0::0:3,24:25:0:0:0::0:3,12:25:0:0:0::0:3,6:25:0:0:0::0:3,4:14:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,48:14:0:0:0::0:3,0:0:58:0:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:30:270:0:270:0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:61:270:0::0:12,12:40:0:0:0::0:3,12:40:0:0:0::0:3,12:41:0:0:0::0:3,12:26:53:270:7::0:12,12:40:0:0:0::0:3,48:14:0:0:0::0:3,0:100:0:0:0:0:0:0,
0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:54:180:2::0:12,0:0:0:0:0::0:3,48:24:0:0:0::0:3,48:24:0:0:0::0:3,48:4:0:0:0::0:12,48:4:0:0:0::0:12,48:24:0:0:0::0:3,48:24:0:0:0::0:3,48:2:0:0:0::0:3,48:2:0:0:0::0:3,48:11:14:270:0::0:12,48:2:0:0:0::0:3,48:2:0:0:0::0:3,48:24:0:0:0::0:3,48:24:0:0:0::0:3,48:4:0:0:0::0:12,48:4:0:0:0::0:12,48:24:0:0:0::0:3,48:24:0:0:0::0:3,0:0:58:270:0:270:0:12,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,48:14:0:0:0::0:3,12:40:0:0:0::0:3,12:40:0:0:0::0:3,12:40:0:0:0::0:3,12:40:0:0:0::0:3,12:39:0:0:0::0:3,12:7:11:0:0::0:12,12:39:0:0:0::0:3,12:40:0:0:0::0:3,12:13:0:0:0::0:3,0:0:0:0:0::0:3,0:0:16:270:0::0:12,12:41:0:0:0::0:3,48:14:0:0:0::0:3,0:100:0:0:0:0:0:0,
24:22:0:0:0::0:3,24:22:0:0:0::0:3,24:22:16:300:0::0:3,24:22:0:0:0::0:3,24:22:0:0:0::0:3,24:22:0:0:0::0:3,24:22:0:0:0::0:3,24:22:16:270:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:54:180:2::0:12,0:0:31:0:0::0:12,48:24:0:0:0::0:3,0:0:30:0:0::0:12,0:0:38:0:0::0:12,12:38:0:0:0::0:3,40:25:0:0:0::0:3,40:25:0:0:0::0:3,12:38:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,12:38:0:0:0::0:3,40:25:0:0:0::0:3,40:25:0:0:0::0:3,12:38:0:0:0::0:3,0:0:27:0:0::0:12,0:0:30:0:0::0:12,48:24:0:0:0::0:3,0:0:0:0:0::0:3,0:0:31:270:0::0:12,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,48:14:0:0:0::0:3,24:25:0:0:0::0:3,24:4:0:0:0::0:3,0:0:56:315:0::0:12,0:0:3:315:0::0:12,0:0:56:315:0::0:12,0:0:0:0:0::0:3,0:0:3:315:0::0:12,12:39:0:0:0::0:3,12:41:0:0:0::0:3,0:0:0:0:0::0:3,0:0:0:0:0::0:3,12:5:0:0:0::0:3,48:14:0:0:0::0:3,0:100:0:0:0:0:0:0,
