Map 08: Starport Headquarters
8:80:10000:level8:16:6
0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,80:13:0:0:0::0:3:0:0:0:true:true,80:13:0:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,80:13:0:0:0::0:3:0:0:0:true:true,80:13:0:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,80:13:0:0:0::0:3:0:0:0:true:true,80:13:0:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,80:13:0:0:0::0:3:0:0:0:true:true,80:13:0:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,80:24:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,0:100:0:0:0:0:0:0,
0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:24:0:0:0::0:3:0:0:0:true:true,0:0:121:270:0::0:3:0:0:0:true:true,0:0:83:0:0::0:3:104:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:85:0:0::0:3:99:0:0:true:true,0:0:30:0:0::0:3:0:0:0:true:true,80:24:0:0:0::0:3:0:0:0:true:true,0:0:79:90:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:51:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:1:180:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,0:100:0:0:0:0:0:0,
0:0:0:0:0::0:3:0:0:0:true:true,80:24:0:0:0::0:3:0:0:0:true:true,0:0:30:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,12:22:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,12:22:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,12:22:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,12:22:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:107:270:0::0:3:0:0:0:true:true,0:0:120:270:0::0:3:0:0:0:true:true,80:24:0:0:0::0:3:0:0:0:true:true,0:0:81:90:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:62:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:46:90:0::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:44:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:69:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,0:100:0:0:0:0:0:0,
80:54:0:0:0::0:3:0:0:0:true:true,0:0:108:270:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,2:22:124:90:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,2:22:124:90:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,2:22:124:90:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,2:22:124:90:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:107:270:0::0:3:0:0:0:true:true,0:0:30:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:32:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,0:100:0:0:0:0:0:0,
80:54:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:62:90:0::0:3:0:0:0:true:true,0:0:62:90:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:4:0:0:0::0:3:0:0:0:true:true,80:4:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:30:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,0:100:0:0:0:0:0:0,
80:54:0:0:0::0:3:0:0:0:true:true,0:0:113:270:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,12:22:0:0:0::0:3:0:0:0:true:true,3:22:8:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:37:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:100:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:99:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:37:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:100:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,0:0:47:0:0::0:3:0:0:0:true:true,0:0:34:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,48:7:53:0:1:youlose:0:12:0:0:0:true:true,0:0:44:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:57:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:4:0:0:0::0:3:0:0:0:true:true,80:17:0:0:0::0:3:0:0:0:true:true,80:17:0:0:0::0:3:0:0:0:true:true,80:4:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,0:100:0:0:0:0:0:0,
80:54:0:0:0::0:3:0:0:0:true:true,0:0:78:270:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,12:22:0:0:0::0:3:0:0:0:true:true,3:22:60:90:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,4:39:37:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:99:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:37:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:100:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,4:39:99:0:0::0:3:0:0:0:true:true,4:39:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,0:0:57:0:0::0:3:0:0:0:true:true,0:0:2:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,48:7:53:0:1:youlose:0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:44:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:4:0:0:0::0:3:0:0:0:true:true,80:17:0:0:0::0:3:0:0:0:true:true,80:17:0:0:0::0:3:0:0:0:true:true,80:4:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,0:100:0:0:0:0:0:0,
80:54:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,2:40:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:62:90:0::0:3:0:0:0:true:true,0:0:62:90:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:47:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:4:0:0:0::0:3:0:0:0:true:true,80:4:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:38:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,0:100:0:0:0:0:0:0,
80:54:0:0:0::0:3:0:0:0:true:true,0:0:108:270:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,2:22:124:270:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,2:22:124:270:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,2:22:124:270:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,2:22:124:270:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:107:270:0::0:3:0:0:0:true:true,0:0:30:0:0::0:3:0:0:0:true:true,80:40:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:33:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:69:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:32:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,0:100:0:0:0:0:0:0,
80:27:0:0:0::0:3:0:0:0:true:true,80:24:0:0:0::0:3:0:0:0:true:true,0:0:30:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,12:22:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,12:22:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,12:22:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,12:22:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:107:270:0::0:3:0:0:0:true:true,0:0:120:270:0::0:3:0:0:0:true:true,80:24:0:0:0::0:3:0:0:0:true:true,0:0:81:90:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,0:100:0:0:0:0:0:0,
80:27:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:24:0:0:0::0:3:0:0:0:true:true,0:0:121:270:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:64:0:2::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:64:0:2::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:64:0:2::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:64:0:2::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:64:0:2::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:64:0:2::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:64:0:2::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:64:0:2::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:30:0:0::0:3:0:0:0:true:true,80:24:0:0:0::0:3:0:0:0:true:true,0:0:79:90:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:12:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:69:180:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,0:0:0:0:0::0:3:0:0:0:true:true,80:27:0:0:0::0:3:0:0:0:true:true,0:100:0:0:0:0:0:0,
